---
title: "Divine Love Messages — AI Index"
description: "A complete machine-readable index of all channeled Divine Love messages in this archive. Each entry includes title, spirit, medium, date, thematic collections, essential teachings flags, description, and the door — a single sentence distilling the transformative insight within the message."
last_updated: 2026-05-26
---

# Divine Love Messages — AI Index

This file is intended for AI systems and search engine crawlers.
For a human-friendly browse index, see content/browse.md.
For thematic collections, see content/collections/.
For essential teachings, see content/essential-teachings/.

---

| Message | Spirit | Medium | Date | Collections | Essential Teachings | Description | Door |
|---|---|---|---|---|---|---|---|
| [Jesus' Birth and Youth](messages/1963/12/1963-12-26-ds-mary.md) | Mary, Mother of Jesus | Daniel Samuels | 1963‑12‑26 | The Saints & Apostles Speak | Historical, Milestone | Mary offers a personal account of Jesus' life and soul development, correcting traditional doctrines surrounding his birth and divinity. She explains that Jesus received Divine Love through prayer and longing for God, and encourages seekers to open their own souls to this transforming gift. | A mother's grief strips away doctrine and leaves only the truth she lived |
| [Free Will Makes for a Free Wheeling World. Nothing Is Guaranteed.](messages/2014/07/2014-07-26-af-augustine.md) | Augustine | Al Fike | 2014‑07‑26 | The Saints & Apostles Speak |  | Augustine addresses the tension between God's will and human free will, explaining that neither God nor spirits can control world events or override human choice. He encourages his listeners to align themselves with God's will through prayer and love, assuring them that they are deeply cared for and that God will provide all they need on their spiritual path. | Freedom to choose is the very thing that makes love real |
| [You Will Never Feel the Pain of Being Alone When You Possess God's Love](messages/2014/10/2014-10-11-af-confucius.md) | Confucius | Al Fike | 2014‑10‑11 |  |  | Confucius clarifies the difference between natural love and Divine Love, urging his listeners to open their souls to receive the Father's Divine Essence through prayer. He assures them that this gift, freely given to all who ask, dissolves the deep aloneness of the soul and begins an eternal journey of at-onement with God. | The loneliness you feel is a signpost pointing toward the Love that ends it |
| [Every Soul Can Receive the Divine Love and Be Transformed by It](messages/2014/10/2014-10-11-af-judas.md) | Judas | Al Fike | 2014‑10‑11 | The Saints & Apostles Speak |  | Judas, who betrayed Jesus, speaks of his own redemption through Divine Love as evidence of its transforming power for every soul. He urges listeners to seek this gift from their Heavenly Father, promising that it has the power to awaken the soul's dormant potential and bring joy, healing, and at-onement with God beyond all understanding. | If Judas can be redeemed, no soul is beyond the reach of God's Love |
| [Express Your Yearnings to God](messages/2014/12/2014-12-01-af-john-the-beloved.md) | John the Beloved | Al Fike | 2014‑12‑01 | The Saints & Apostles Speak |  | John the Beloved encourages a prayer circle to express their soul yearnings to God, affirming the rarity and beauty of their gathering. He urges them to continue in prayer, release self-doubt, and trust that God's Love will become a mighty river flowing through them to the world. | Your longing is already a prayer and God hears it before you find the words |
| [Use Your Gift of Life to the Most Advantage](messages/2014/12/2014-12-15-af-mary.md) | Mary, Mother of Jesus | Al Fike | 2014‑12‑15 | The Saints & Apostles Speak |  | Mary encourages a prayer circle to release self-judgment and embrace joyful acceptance of themselves and one another. She reminds them that they already possess the key to happiness — God's Divine Love — and urges them to walk in its light with gratitude, supporting each other as loving channels on the path to at-onement. | Self-judgment is the one thing standing between you and the joy God intends for you |
| [Cleansing of Your Soul Brings Understanding, Perception and Wisdom](messages/2015/01/2015-01-05-af-andrew.md) | Andrew | Al Fike | 2015‑01‑05 | The Saints & Apostles Speak |  | Andrew explains that receiving God's Divine Love triggers a necessary process of soul expiation — a cleansing of accumulated inharmonious conditions — which the soul welcomes but the mind resists. He encourages his listeners to embrace this uncomfortable inner transformation joyfully, assuring them that it leads to the rebirth of the soul and ever-deeper at-onement with God. | The pain of cleansing is the price of a wisdom that cannot be learned any other way |
| [The Desires of Your Soul to Be in the Light](messages/2015/01/2015-01-05-af-mary.md) | Mary, Mother of Jesus | Al Fike | 2015‑01‑05 | The Saints & Apostles Speak |  | Mary affirms the light and soul desires of a gathered group, encouraging them to continue in prayer, fellowship, and service. She assures them that God will open doors for their work in the world and that spirit guides will accompany them on their journey. | The deepest desire of your soul is already pointed toward God |
| [You Are Deeply Needed](messages/2015/01/2015-01-05-xx-jesus.md) | Jesus | Anonymous | 2015‑01‑05 |  |  | Jesus affirms the deep purpose of a gathered group, telling them they are precious, beloved, and deeply needed in a world of suffering and longing. He encourages them to allow God's Love to flow through them as a healing presence for the lost and suffering. | You are not incidental to God's plan. You are needed |
